NU_ANO,CO_CURSO,CO_IES,CO_GRUPO,QE_I28,QE_I29,QE_I30,QE_I34,QE_I37,QE_I41,QE_I43,QE_I44,QE_I47,QE_I48,QE_I49,QE_I57,QE_I61,QE_I62,QE_I63
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
2019,112818,2,23,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,6.0,5.0,6.0,6.0
2019,112818,2,23,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0,4.0,5.0
2019,112818,2,23,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0
2019,112818,2,23,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0
2019,112818,2,23,6.0,6.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0
2019,112818,2,23,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0
2019,112818,2,23,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,5.0,6.0,6.0
2019,112818,2,23,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,5.0,6.0,5.0,5.0,6.0,5.0,4.0,3.0,6.0,5.0,5.0,6.0,4.0,4.0,5.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0
2019,112818,2,23,4.0,5.0,6.0,7.0,6.0,5.0,5.0,3.0,4.0,3.0,5.0,6.0,6.0,4.0,5.0
2019,112818,2,23,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0
2019,112818,2,23,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,1.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,5.0,5.0,6.0,6.0,4.0,1.0,1.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0
2019,112818,2,23,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,5.0,6.0,4.0,6.0,3.0,3.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0
2019,112818,2,23,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0
2019,112818,2,23,4.0,1.0,1.0,4.0,3.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0
2019,112818,2,23,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,5.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
2019,112818,2,23,6.0,4.0,4.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0
2019,112818,2,23,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0
2019,112818,2,23,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,4.0,4.0,5.0,4.0,1.0,1.0
2019,112818,2,23,6.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,4.0,5.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,4.0,6.0,6.0,3.0,5.0,5.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,5.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0
2019,112818,2,23,6.0,6.0,3.0,4.0,2.0,3.0,2.0,5.0,5.0,6.0,1.0,5.0,3.0,6.0,5.0
2019,112818,2,23,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0
2019,112818,2,23,6.0,5.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112818,2,23,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0
2019,112818,2,23,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
2019,112872,2,5806,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,3.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,5.0,6.0,5.0,6.0,6.0,6.0,3.0,1.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0
2019,112872,2,5806,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,5.0,5.0,5.0,3.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,4.0,4.0
2019,112872,2,5806,6.0,4.0,3.0,5.0,6.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,5.0,2.0,2.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0
2019,112872,2,5806,4.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0
2019,112872,2,5806,1.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,3.0,6.0,6.0,6.0,6.0,4.0,5.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,5.0,5.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,4.0,4.0,4.0,6.0,5.0,4.0,1.0,1.0,2.0,2.0,6.0,6.0,6.0,2.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0
2019,112872,2,5806,5.0,5.0,4.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,5.0,3.0,4.0,6.0,6.0,6.0,6.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0
2019,112872,2,5806,6.0,6.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,5.0,6.0,4.0,6.0,6.0,6.0,3.0,3.0,6.0,3.0,3.0,6.0,5.0,4.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,3.0,6.0,6.0,4.0,3.0,5.0
2019,112872,2,5806,6.0,4.0,5.0,6.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,5.0,5.0,4.0,6.0,6.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,4.0,4.0,3.0,5.0,5.0,6.0,4.0,2.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,4.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0
2019,112872,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112872,2,5806,6.0,5.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2019,112887,2,5806,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,1.0,3.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,4.0,4.0,4.0,6.0,5.0,5.0,6.0,8.0,5.0,6.0,4.0,5.0,6.0,4.0,4.0
2019,112887,2,5806,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,5.0,6.0,6.0,6.0,6.0,6.0,4.0,3.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0
2019,112887,2,5806,5.0,5.0,4.0,5.0,3.0,3.0,5.0,6.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,5.0,5.0,6.0,5.0,6.0,3.0,4.0,4.0,6.0,4.0,5.0,4.0,2.0,3.0,3.0
2019,112887,2,5806,5.0,6.0,8.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
2019,112887,2,5806,6.0,6.0,4.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,4.0,4.0,5.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,6.0,6.0,4.0,4.0
2019,112887,2,5806,6.0,6.0,3.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0
2019,112887,2,5806,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,5.0,6.0,3.0,4.0,3.0,2.0,6.0,2.0,6.0,6.0,6.0,2.0,6.0
2019,112887,2,5806,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,1.0,6.0,6.0,5.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0
2019,112887,2,5806,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0
2019,112887,2,5806,5.0,2.0,1.0,2.0,3.0,6.0,3.0,3.0,3.0,1.0,2.0,5.0,4.0,4.0,4.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,8.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0
2019,112887,2,5806,6.0,5.0,4.0,6.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,5.0,5.0,6.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0
2019,112887,2,5806,6.0,4.0,4.0,6.0,4.0,2.0,5.0,5.0,6.0,4.0,5.0,4.0,5.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,5.0,4.0,2.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,3.0,4.0,4.0,5.0,2.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0
2019,112887,2,5806,6.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0
2019,112887,2,5806,6.0,6.0,6.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,6.0,6.0,6.0,4.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,5.0,5.0,5.0,5.0,6.0,1.0,3.0,4.0,5.0,4.0,5.0,6.0,4.0,4.0,4.0
2019,112887,2,5806,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2019,112887,2,5806,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0
2019,112887,2,5806,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
